REPORT_MONTH,MARKETPLACE,CURRENCY,KENP_RATE,IS_FINAL
2025-09-01,United States,USD,0.0044929,TRUE
2025-09-01,United Kingdom,GBP,0.0030777,TRUE
2025-09-01,Canada,CAD,0.0038679,TRUE
2025-09-01,Australia,AUD,0.0037542,TRUE
2025-09-01,Germany,EUR,0.002835,TRUE
2025-09-01,India,INR,0.0912093,TRUE
2025-09-01,Spain,EUR,0.0033914,TRUE
2025-09-01,Brazil,BRL,0.0087856,TRUE
2025-09-01,Japan,JPY,0.406199,TRUE
2025-09-01,France,EUR,0.0033436,TRUE
2025-09-01,Italy,EUR,0.0030634,TRUE
2025-09-01,Netherlands,EUR,,TRUE
2025-09-01,Mexico,MXN,0.0792333,TRUE
2025-10-01,United States,USD,0.004704,TRUE
2025-10-01,United Kingdom,GBP,0.0031656,TRUE
2025-10-01,Canada,CAD,0.0037355,TRUE
2025-10-01,Australia,AUD,0.0037872,TRUE
2025-10-01,Germany,EUR,0.0029245,TRUE
2025-10-01,India,INR,0.086649,TRUE
2025-10-01,Spain,EUR,0.0036863,TRUE
2025-10-01,Brazil,BRL,0.0087393,TRUE
2025-10-01,Japan,JPY,0.406198,TRUE
2025-10-01,France,EUR,0.003321,TRUE
2025-10-01,Italy,EUR,0.0030634,TRUE
2025-10-01,Netherlands,EUR,,TRUE
2025-10-01,Mexico,MXN,0.0792332,TRUE
2025-11-01,United States,USD,0.0047002,TRUE
2025-11-01,United Kingdom,GBP,0.0033111,TRUE
2025-11-01,Canada,CAD,0.0036907,TRUE
2025-11-01,Australia,AUD,0.0037872,TRUE
2025-11-01,Germany,EUR,0.0029808,TRUE
2025-11-01,India,INR,0.0823164,TRUE
2025-11-01,Spain,EUR,0.0037055,TRUE
2025-11-01,Brazil,BRL,0.0078382,TRUE
2025-11-01,Japan,JPY,0.406175,TRUE
2025-11-01,France,EUR,0.0033514,TRUE
2025-11-01,Italy,EUR,0.0032597,TRUE
2025-11-01,Netherlands,EUR,,TRUE
2025-11-01,Mexico,MXN,0.0792328,TRUE